"2014 Medicare Advantage, and Cost Plans",,,,,,,,,,,,,,,
"Data as of June 1, 2014.  Includes 2014 approved contracts/plans.  PACE, Special Needs Plans, Part B Only Plans, and Employer  sponsored plans (800 series) are excluded. Plans under sanction are not shown.  Medicare/Medicaid plans are shown in a separate Landscape file.",,,,,,,,,,,,,,,
"Notes: Data are subject to change as contracts are finalized.  For 2014, enhanced alternative plans may offer additional gap coverage which is calculated as the percentage of “generic” formulary products with coverage above and beyond the 2014 standard ""generic"" coverage gap cost-sharing benefit and/or the percentage of “brand” formulary products covered in addition to the coverage gap discount for applicable drugs.  Additional gap coverage levels are determined separately for formulary generic and brand products and are described as follows:   “All”: 100% of formulary drugs are covered through the gap, “Many”: ?65% to <100% of formulary drugs are covered through the gap, “Some”: ?10% to <65 % of formulary drugs are covered through the gap, “Few”: >0% to <10% of formulary drugs are covered through the gap (and must also be >15 ""brand"" products covered through the gap), “No Gap Coverage”:  0% of formulary drugs are covered through the gap (or ?15 ""brand"" products covered through the gap).  A label of “All Formulary Drugs” is applied for plans that cover 100% of “generic” and 100% of “brand” products (either by covering all formulary drug products in the gap or by having no initial coverage limit).",,,,,,,,,,,,,,,
* Indicates plan does not offer Part D drug coverage.,,,,,,,,,,,,,,,
** MOOP is defined as: Maximum Out-of-Pocket (MOOP) limit on enrollee spending that includes costs for all in-network Part A and Part B Services. N/A is defined as Not Applicable,,,,,,,,,,,,,,,
State,County,Organization Name,Plan Name,Type of Medicare Health Plan,"Monthly Consolidated Premium 
(Includes 
Part C + D)",Annual Drug Deductible,"Drug 
Benefit 
Type","Type of 
Additional Coverage Offered in the Gap",Drug Benefit Type Detail,Contract ID,Plan ID,Segment ID,In-network MOOP Amount **,Overall Star Rating,
Florida,Monroe,Humana Insurance Company,HumanaChoice R5826-018 (Regional PPO),Regional PPO *, $-   ,,,,,R5826,018,0," $4,000 ",3.5 stars,
Florida,Monroe,Humana Insurance Company,HumanaChoice R5826-074 (Regional PPO),Regional PPO, $-   , $150.00 ,Enhanced,"Few Generics, Few Brands",EA,R5826,074,0," $5,900 ",3.5 stars,
Florida,Nassau,"Humana Medical Plan, Inc.",Humana Gold Plus H1036-081D (HMO),Local HMO, $-   , $-   ,Enhanced,"Few Generics, Few Brands",EA,H1036,081,0," $6,700 ",4.5 stars,
Florida,Nassau,Florida Blue,BlueMedicare Regional PPO (Regional PPO),Regional PPO, $-   , $30.00 ,Basic,No Gap Coverage,BA,R3332,001,0," $6,700 ",3.5 stars,
Florida,Nassau,UnitedHealthcare,AARP MedicareComplete Choice Plan 2 (Regional PPO),Regional PPO, $-   , $-   ,Enhanced,No Gap Coverage,EA,R5287,001,0," $6,700 ",3 stars,
Florida,Nassau,UnitedHealthcare,AARP MedicareComplete Choice Essential (Regional PPO),Regional PPO *, $-   ,,,,,R5287,002,0," $6,700 ",3 stars,
Florida,Nassau,Humana Insurance Company,HumanaChoice R5826-005 (Regional PPO),Regional PPO, $92.00 , $-   ,Enhanced,"Few Generics, Few Brands",EA,R5826,005,0," $5,700 ",3.5 stars,
Florida,Nassau,Humana Insurance Company,HumanaChoice R5826-018 (Regional PPO),Regional PPO *, $-   ,,,,,R5826,018,0," $4,000 ",3.5 stars,
Florida,Nassau,Humana Insurance Company,HumanaChoice R5826-074 (Regional PPO),Regional PPO, $-   , $150.00 ,Enhanced,"Few Generics, Few Brands",EA,R5826,074,0," $5,900 ",3.5 stars,
Florida,Okaloosa,WellCare,WellCare Choice (HMO-POS),Local HMO, $54.60 , $-   ,Enhanced,No Gap Coverage,EA,H1032,025,0," $6,700 ",3.5 stars,
Florida,Okaloosa,WellCare,WellCare Advance (HMO),Local HMO *, $-   ,,,,,H1032,037,0," $6,700 ",3.5 stars,
Florida,Okaloosa,WellCare,WellCare Value (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,079,0," $6,700 ",3.5 stars,
Florida,Okaloosa,Florida Blue,BlueMedicare PPO (PPO),Local PPO, $127.00 , $-   ,Enhanced,Many Generics,EA,H5434,002,0," $3,200 ",4 stars,
Florida,Okaloosa,Florida Blue,BlueMedicare Regional PPO (Regional PPO),Regional PPO, $-   , $30.00 ,Basic,No Gap Coverage,BA,R3332,001,0," $6,700 ",3.5 stars,
Florida,Okaloosa,UnitedHealthcare,AARP MedicareComplete Choice Plan 2 (Regional PPO),Regional PPO, $-   , $-   ,Enhanced,No Gap Coverage,EA,R5287,001,0," $6,700 ",3 stars,
Florida,Okaloosa,UnitedHealthcare,AARP MedicareComplete Choice Essential (Regional PPO),Regional PPO *, $-   ,,,,,R5287,002,0," $6,700 ",3 stars,
Florida,Okaloosa,Humana Insurance Company,HumanaChoice R5826-005 (Regional PPO),Regional PPO, $92.00 , $-   ,Enhanced,"Few Generics, Few Brands",EA,R5826,005,0," $5,700 ",3.5 stars,
Florida,Okaloosa,Humana Insurance Company,HumanaChoice R5826-018 (Regional PPO),Regional PPO *, $-   ,,,,,R5826,018,0," $4,000 ",3.5 stars,
Florida,Okaloosa,Humana Insurance Company,HumanaChoice R5826-074 (Regional PPO),Regional PPO, $-   , $150.00 ,Enhanced,"Few Generics, Few Brands",EA,R5826,074,0," $5,900 ",3.5 stars,
Florida,Okeechobee,"CarePlus Health Plans, Inc.",CareOne (HMO),Local HMO, $-   , $-   ,Enhanced,"Few Generics, Few Brands",EA,H1019,043,0," $6,700 ",4.5 stars,
Florida,Okeechobee,WellCare,WellCare Dividend (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,032,0," $6,700 ",3.5 stars,
Florida,Okeechobee,WellCare,WellCare Advance (HMO),Local HMO *, $-   ,,,,,H1032,037,0," $6,700 ",3.5 stars,
Florida,Okeechobee,WellCare,WellCare Value (HMO-POS),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,091,0," $6,700 ",3.5 stars,
Florida,Okeechobee,"Humana Medical Plan, Inc.",Humana Gold Plus H1036-229 (HMO),Local HMO, $-   , $-   ,Enhanced,"Few Generics, Few Brands",EA,H1036,229,0," $6,700 ",4.5 stars,
Florida,Okeechobee,Humana Insurance Company,Humana Gold Choice H8145-061 (PFFS),PFFS, $103.00 , $-   ,Enhanced,"Few Generics, Few Brands",EA,H8145,061,0, N/A ,4 stars,
Florida,Okeechobee,Florida Blue,BlueMedicare Regional PPO (Regional PPO),Regional PPO, $-   , $30.00 ,Basic,No Gap Coverage,BA,R3332,001,0," $6,700 ",3.5 stars,
Florida,Okeechobee,UnitedHealthcare,AARP MedicareComplete Choice Plan 2 (Regional PPO),Regional PPO, $-   , $-   ,Enhanced,No Gap Coverage,EA,R5287,001,0," $6,700 ",3 stars,
Florida,Okeechobee,UnitedHealthcare,AARP MedicareComplete Choice Essential (Regional PPO),Regional PPO *, $-   ,,,,,R5287,002,0," $6,700 ",3 stars,
Florida,Okeechobee,Humana Insurance Company,HumanaChoice R5826-005 (Regional PPO),Regional PPO, $92.00 , $-   ,Enhanced,"Few Generics, Few Brands",EA,R5826,005,0," $5,700 ",3.5 stars,
Florida,Okeechobee,Humana Insurance Company,HumanaChoice R5826-018 (Regional PPO),Regional PPO *, $-   ,,,,,R5826,018,0," $4,000 ",3.5 stars,
Florida,Okeechobee,Humana Insurance Company,HumanaChoice R5826-074 (Regional PPO),Regional PPO, $-   , $150.00 ,Enhanced,"Few Generics, Few Brands",EA,R5826,074,0," $5,900 ",3.5 stars,
Florida,Orange,"CarePlus Health Plans, Inc.",CareOne PLUS (HMO),Local HMO, $-   , $-   ,Enhanced,"Some Generics, Few Brands",EA,H1019,057,0," $3,400 ",4.5 stars,
Florida,Orange,Florida Blue HMO,BlueMedicare HMO LifeTime (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H1026,040,0," $4,900 ",3.5 stars,
Florida,Orange,Florida Blue HMO,BlueMedicare HMO PrimeTime (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1026,054,0," $3,400 ",3.5 stars,
Florida,Orange,WellCare,WellCare Choice (HMO-POS),Local HMO, $46.00 , $-   ,Enhanced,No Gap Coverage,EA,H1032,002,0," $6,700 ",3.5 stars,
Florida,Orange,WellCare,WellCare Advance (HMO),Local HMO *, $-   ,,,,,H1032,037,0," $6,700 ",3.5 stars,
Florida,Orange,WellCare,WellCare Value (HMO-POS),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,091,0," $6,700 ",3.5 stars,
Florida,Orange,WellCare,WellCare Essential (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,173,0," $6,700 ",3.5 stars,
Florida,Orange,WellCare,WellCare Dividend (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,179,0," $6,700 ",3.5 stars,
Florida,Orange,"Humana Medical Plan, Inc.",Humana Gold Plus H1036-146 (HMO),Local HMO, $-   , $-   ,Enhanced,"Some Generics, Few Brands",EA,H1036,146,0," $3,400 ",4.5 stars,
Florida,Orange,"Preferred Care Partners, Inc.",Preferred Secure Option (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1045,023,0," $6,700 ",4 stars,
Florida,Orange,UnitedHealthcare,AARP MedicareComplete (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1080,043,0," $5,900 ",3.5 stars,
Florida,Orange,FLORIDA HEALTHCARE PLUS,Sunrise (HMO),Local HMO, $-   , $-   ,Enhanced,All Generics,EA,H4199,007,0," $3,400 ",Not enough data available ,
Florida,Orange,FLORIDA HEALTHCARE PLUS,Day Break (HMO),Local HMO, $-   , $-   ,Enhanced,All Generics,EA,H4199,008,0," $3,400 ",Not enough data available ,
Florida,Orange,FLORIDA HEALTHCARE PLUS,Day Light (HMO),Local HMO *, $-   ,,,,,H4199,009,0," $3,400 ",Not enough data available ,
Florida,Orange,"Freedom Health, Inc.",Freedom Savings Plan (HMO),Local HMO *, $-   ,,,,,H5427,052,0," $3,400 ",4 stars,
Florida,Orange,"Freedom Health, Inc.",Freedom Savings Plan Rx (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5427,054,0," $3,400 ",4 stars,
Florida,Orange,"Freedom Health, Inc.",Freedom Medicare Plan Rx (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5427,060,0," $3,400 ",4 stars,
Florida,Orange,"Simply Healthcare Plans, Inc.",Simply More (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5471,043,0," $3,400 ",3 stars,
Florida,Orange,"Simply Healthcare Plans, Inc.",Simply Extra (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5471,044,0," $5,500 ",3 stars,
Florida,Orange,"Optimum HealthCare, Inc.",Optimum Gold Rewards Plan (HMO-POS),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5594,022,0," $6,700 ",3.5 stars,
Florida,Orange,"Optimum HealthCare, Inc.",Optimum Platinum Plan (HMO-POS),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5594,033,0," $3,400 ",3.5 stars,
Florida,Orange,Physicians United Plan,PUP REWARDS (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5696,004,0," $4,300 ",3.5 stars,
Florida,Orange,Physicians United Plan,PUP SIMPLE (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5696,033,0," $4,200 ",3.5 stars,
Florida,Orange,Physicians United Plan,PUP PLUS (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5696,034,0," $6,700 ",3.5 stars,
Florida,Orange,Humana Insurance Company,Humana Gold Choice H8145-061 (PFFS),PFFS, $103.00 , $-   ,Enhanced,"Few Generics, Few Brands",EA,H8145,061,0, N/A ,4 stars,
Florida,Orange,Amerigroup,Amerivantage Classic+ Rx Plan (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H8991,028,0," $6,700 ",3.5 stars,
Florida,Orange,Florida Blue,BlueMedicare Regional PPO (Regional PPO),Regional PPO, $-   , $30.00 ,Basic,No Gap Coverage,BA,R3332,001,0," $6,700 ",3.5 stars,
Florida,Orange,UnitedHealthcare,AARP MedicareComplete Choice Plan 2 (Regional PPO),Regional PPO, $-   , $-   ,Enhanced,No Gap Coverage,EA,R5287,001,0," $6,700 ",3 stars,
Florida,Orange,UnitedHealthcare,AARP MedicareComplete Choice Essential (Regional PPO),Regional PPO *, $-   ,,,,,R5287,002,0," $6,700 ",3 stars,
Florida,Orange,Humana Insurance Company,HumanaChoice R5826-005 (Regional PPO),Regional PPO, $92.00 , $-   ,Enhanced,"Few Generics, Few Brands",EA,R5826,005,0," $5,700 ",3.5 stars,
Florida,Orange,Humana Insurance Company,HumanaChoice R5826-018 (Regional PPO),Regional PPO *, $-   ,,,,,R5826,018,0," $4,000 ",3.5 stars,
Florida,Orange,Humana Insurance Company,HumanaChoice R5826-074 (Regional PPO),Regional PPO, $-   , $150.00 ,Enhanced,"Few Generics, Few Brands",EA,R5826,074,0," $5,900 ",3.5 stars,
Florida,Osceola,"CarePlus Health Plans, Inc.",CareOne PLUS (HMO),Local HMO, $-   , $-   ,Enhanced,"Some Generics, Few Brands",EA,H1019,057,0," $3,400 ",4.5 stars,
Florida,Osceola,Florida Blue HMO,BlueMedicare HMO LifeTime (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H1026,040,0," $4,900 ",3.5 stars,
Florida,Osceola,Florida Blue HMO,BlueMedicare HMO PrimeTime (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1026,054,0," $3,400 ",3.5 stars,
Florida,Osceola,WellCare,WellCare Choice (HMO-POS),Local HMO, $46.00 , $-   ,Enhanced,No Gap Coverage,EA,H1032,002,0," $6,700 ",3.5 stars,
Florida,Osceola,WellCare,WellCare Advance (HMO),Local HMO *, $-   ,,,,,H1032,037,0," $6,700 ",3.5 stars,
Florida,Osceola,WellCare,WellCare Value (HMO-POS),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,091,0," $6,700 ",3.5 stars,
Florida,Osceola,WellCare,WellCare Essential (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,173,0," $6,700 ",3.5 stars,
Florida,Osceola,WellCare,WellCare Dividend (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,179,0," $6,700 ",3.5 stars,
Florida,Osceola,"Humana Medical Plan, Inc.",Humana Gold Plus H1036-146 (HMO),Local HMO, $-   , $-   ,Enhanced,"Some Generics, Few Brands",EA,H1036,146,0," $3,400 ",4.5 stars,
Florida,Osceola,"Preferred Care Partners, Inc.",Preferred Secure Option (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1045,023,0," $6,700 ",4 stars,
Florida,Osceola,UnitedHealthcare,AARP MedicareComplete (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1080,043,0," $5,900 ",3.5 stars,
Florida,Osceola,FLORIDA HEALTHCARE PLUS,Sunrise (HMO),Local HMO, $-   , $-   ,Enhanced,All Generics,EA,H4199,007,0," $3,400 ",Not enough data available ,
Florida,Osceola,FLORIDA HEALTHCARE PLUS,Day Break (HMO),Local HMO, $-   , $-   ,Enhanced,All Generics,EA,H4199,008,0," $3,400 ",Not enough data available ,
Florida,Osceola,FLORIDA HEALTHCARE PLUS,Day Light (HMO),Local HMO *, $-   ,,,,,H4199,009,0," $3,400 ",Not enough data available ,
Florida,Osceola,"Freedom Health, Inc.",Freedom Savings Plan (HMO),Local HMO *, $-   ,,,,,H5427,052,0," $3,400 ",4 stars,
Florida,Osceola,"Freedom Health, Inc.",Freedom Savings Plan Rx (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5427,054,0," $3,400 ",4 stars,
Florida,Osceola,"Freedom Health, Inc.",Freedom Medicare Plan Rx (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5427,060,0," $3,400 ",4 stars,
Florida,Osceola,Florida Blue,BlueMedicare PPO (PPO),Local PPO, $127.00 , $-   ,Enhanced,Many Generics,EA,H5434,002,0," $3,200 ",4 stars,
Florida,Osceola,"Simply Healthcare Plans, Inc.",Simply More (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5471,043,0," $3,400 ",3 stars,
Florida,Osceola,"Simply Healthcare Plans, Inc.",Simply Extra (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5471,044,0," $5,500 ",3 stars,
Florida,Osceola,"Optimum HealthCare, Inc.",Optimum Gold Rewards Plan (HMO-POS),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5594,022,0," $6,700 ",3.5 stars,
Florida,Osceola,"Optimum HealthCare, Inc.",Optimum Platinum Plan (HMO-POS),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5594,033,0," $3,400 ",3.5 stars,
Florida,Osceola,Physicians United Plan,PUP REWARDS (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5696,004,0," $4,300 ",3.5 stars,
Florida,Osceola,Physicians United Plan,PUP SIMPLE (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5696,033,0," $4,200 ",3.5 stars,
Florida,Osceola,Physicians United Plan,PUP PLUS (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5696,034,0," $6,700 ",3.5 stars,
Florida,Osceola,Humana Insurance Company,Humana Gold Choice H8145-061 (PFFS),PFFS, $103.00 , $-   ,Enhanced,"Few Generics, Few Brands",EA,H8145,061,0, N/A ,4 stars,
Florida,Osceola,Florida Blue,BlueMedicare Regional PPO (Regional PPO),Regional PPO, $-   , $30.00 ,Basic,No Gap Coverage,BA,R3332,001,0," $6,700 ",3.5 stars,
Florida,Osceola,UnitedHealthcare,AARP MedicareComplete Choice Plan 2 (Regional PPO),Regional PPO, $-   , $-   ,Enhanced,No Gap Coverage,EA,R5287,001,0," $6,700 ",3 stars,
Florida,Osceola,UnitedHealthcare,AARP MedicareComplete Choice Essential (Regional PPO),Regional PPO *, $-   ,,,,,R5287,002,0," $6,700 ",3 stars,
Florida,Osceola,Humana Insurance Company,HumanaChoice R5826-005 (Regional PPO),Regional PPO, $92.00 , $-   ,Enhanced,"Few Generics, Few Brands",EA,R5826,005,0," $5,700 ",3.5 stars,
Florida,Osceola,Humana Insurance Company,HumanaChoice R5826-018 (Regional PPO),Regional PPO *, $-   ,,,,,R5826,018,0," $4,000 ",3.5 stars,
Florida,Osceola,Humana Insurance Company,HumanaChoice R5826-074 (Regional PPO),Regional PPO, $-   , $150.00 ,Enhanced,"Few Generics, Few Brands",EA,R5826,074,0," $5,900 ",3.5 stars,
Florida,Palm Beach,"CarePlus Health Plans, Inc.",CareOne (HMO),Local HMO, $-   , $-   ,Enhanced,"Some Generics, Few Brands",EA,H1019,010,0," $5,700 ",4.5 stars,
Florida,Palm Beach,"CarePlus Health Plans, Inc.",CareFree (HMO),Local HMO, $-   , $-   ,Enhanced,"Few Generics, Few Brands",EA,H1019,065,0," $6,700 ",4.5 stars,
Florida,Palm Beach,Florida Blue HMO,BlueMedicare HMO LifeTime (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H1026,038,0," $3,900 ",3.5 stars,
Florida,Palm Beach,Florida Blue HMO,BlueMedicare HMO PrimeTime (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1026,051,0," $3,200 ",3.5 stars,
Florida,Palm Beach,WellCare,WellCare Advance (HMO),Local HMO *, $-   ,,,,,H1032,037,0," $6,700 ",3.5 stars,
Florida,Palm Beach,WellCare,WellCare Value (HMO-POS),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,091,0," $6,700 ",3.5 stars,
Florida,Palm Beach,WellCare,WellCare Dividend (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,179,0," $6,700 ",3.5 stars,
Florida,Palm Beach,"Humana Medical Plan, Inc.",Humana Gold Plus H1036-062C (HMO),Local HMO, $-   , $-   ,Enhanced,"Some Generics, Few Brands",EA,H1036,062,0," $5,700 ",4.5 stars,
Florida,Palm Beach,"Humana Medical Plan, Inc.",Humana Gold Plus H1036-063A (HMO),Local HMO *, $-   ,,,,,H1036,063,0," $6,700 ",4.5 stars,
Florida,Palm Beach,"Humana Medical Plan, Inc.",Humana Gold Plus H1036-199 (HMO),Local HMO, $-   , $-   ,Enhanced,"Few Generics, Few Brands",EA,H1036,199,0," $6,700 ",4.5 stars,
Florida,Palm Beach,FLORIDA HEALTHCARE PLUS,Sunrise (HMO),Local HMO, $-   , $-   ,Enhanced,All Generics,EA,H4199,012,0," $3,400 ",Not enough data available ,
Florida,Palm Beach,FLORIDA HEALTHCARE PLUS,Day Break (HMO),Local HMO, $-   , $-   ,Enhanced,All Generics,EA,H4199,013,0," $3,400 ",Not enough data available ,
Florida,Palm Beach,FLORIDA HEALTHCARE PLUS,Day Light (HMO),Local HMO *, $-   ,,,,,H4199,014,0," $3,400 ",Not enough data available ,
Florida,Palm Beach,Aetna Medicare,Aetna Medicare Value Plan (HMO),Local HMO, $-   , $-   ,Enhanced,Few Generics,EA,H5414,019,0," $6,700 ",4 stars,
Florida,Palm Beach,"Humana Health Insurance Company of FL, Inc.",HumanaChoice H5415-056 (PPO),Local PPO, $45.00 , $-   ,Enhanced,"Few Generics, Few Brands",EA,H5415,056,0," $5,000 ",4 stars,
Florida,Palm Beach,"Freedom Health, Inc.",Freedom Savings Plan (HMO),Local HMO *, $-   ,,,,,H5427,052,0," $3,400 ",4 stars,
Florida,Palm Beach,"Freedom Health, Inc.",Freedom Savings Plan Rx (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5427,054,0," $3,400 ",4 stars,
Florida,Palm Beach,"Freedom Health, Inc.",Freedom Medicare Plan Rx (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5427,060,0," $3,400 ",4 stars,
Florida,Palm Beach,Florida Blue,BlueMedicare PPO (PPO),Local PPO, $127.00 , $-   ,Enhanced,Many Generics,EA,H5434,002,0," $3,200 ",4 stars,
Florida,Palm Beach,"Simply Healthcare Plans, Inc.",Simply More (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5471,028,0," $3,400 ",3 stars,
Florida,Palm Beach,"Simply Healthcare Plans, Inc.",Simply Extra (HMO),Local HMO, $-   , $-   ,Enhanced,Some Generics,EA,H5471,029,0," $6,700 ",3 stars,
Florida,Palm Beach,Aetna Medicare,Aetna Medicare Premier Plan (PPO),Local PPO, $35.00 , $310.00 ,Basic,No Gap Coverage,BA,H5521,033,0," $6,700 ",4.5 stars,
Florida,Palm Beach,Physicians United Plan,PUP REWARDS (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5696,028,0," $4,600 ",3.5 stars,
Florida,Palm Beach,Physicians United Plan,PUP EASY (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5696,041,0," $3,400 ",3.5 stars,
Florida,Palm Beach,Coventry Summit Health Plan,Coventry Summit Ideal (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H5850,004,0," $5,300 ",3.5 stars,
Florida,Palm Beach,Coventry Summit Health Plan,Coventry Summit Plus (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H5850,022,0," $6,700 ",3.5 stars,
Florida,Palm Beach,Humana Insurance Company,Humana Gold Choice H8145-061 (PFFS),PFFS, $103.00 , $-   ,Enhanced,"Few Generics, Few Brands",EA,H8145,061,0, N/A ,4 stars,
Florida,Palm Beach,Amerigroup,Amerivantage Classic+ Rx Plan (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H8991,028,0," $6,700 ",3.5 stars,
Florida,Palm Beach,UnitedHealthcare,AARP MedicareComplete (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H9011,020,0," $4,500 ",3 stars,
Florida,Palm Beach,Florida Blue,BlueMedicare Regional PPO (Regional PPO),Regional PPO, $-   , $30.00 ,Basic,No Gap Coverage,BA,R3332,001,0," $6,700 ",3.5 stars,
Florida,Palm Beach,UnitedHealthcare,AARP MedicareComplete Choice Plan 2 (Regional PPO),Regional PPO, $-   , $-   ,Enhanced,No Gap Coverage,EA,R5287,001,0," $6,700 ",3 stars,
Florida,Palm Beach,UnitedHealthcare,AARP MedicareComplete Choice Essential (Regional PPO),Regional PPO *, $-   ,,,,,R5287,002,0," $6,700 ",3 stars,
Florida,Palm Beach,Humana Insurance Company,HumanaChoice R5826-005 (Regional PPO),Regional PPO, $92.00 , $-   ,Enhanced,"Few Generics, Few Brands",EA,R5826,005,0," $5,700 ",3.5 stars,
Florida,Palm Beach,Humana Insurance Company,HumanaChoice R5826-018 (Regional PPO),Regional PPO *, $-   ,,,,,R5826,018,0," $4,000 ",3.5 stars,
Florida,Palm Beach,Humana Insurance Company,HumanaChoice R5826-074 (Regional PPO),Regional PPO, $-   , $150.00 ,Enhanced,"Few Generics, Few Brands",EA,R5826,074,0," $5,900 ",3.5 stars,
Florida,Pasco,"CarePlus Health Plans, Inc.",CareOne (HMO),Local HMO, $-   , $-   ,Enhanced,"Some Generics, Few Brands",EA,H1019,014,0," $5,700 ",4.5 stars,
Florida,Pasco,"CarePlus Health Plans, Inc.",CareOne PLUS (HMO),Local HMO, $-   , $-   ,Enhanced,"Some Generics, Few Brands",EA,H1019,054,0," $3,400 ",4.5 stars,
Florida,Pasco,"CarePlus Health Plans, Inc.",CareFree (HMO),Local HMO, $-   , $-   ,Enhanced,"Few Generics, Few Brands",EA,H1019,060,0," $5,000 ",4.5 stars,
Florida,Pasco,Florida Blue HMO,BlueMedicare HMO LifeTime (HMO),Local HMO, $-   , $-   ,Enhanced,Many Generics,EA,H1026,040,0," $4,900 ",3.5 stars,
Florida,Pasco,Florida Blue HMO,BlueMedicare HMO PrimeTime (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1026,054,0," $3,400 ",3.5 stars,
Florida,Pasco,WellCare,WellCare Value (HMO-POS),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,035,0," $6,700 ",3.5 stars,
Florida,Pasco,WellCare,WellCare Advance (HMO),Local HMO *, $-   ,,,,,H1032,037,0," $6,700 ",3.5 stars,
Florida,Pasco,WellCare,WellCare Essential (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,174,0," $6,700 ",3.5 stars,
Florida,Pasco,WellCare,WellCare Dividend (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1032,179,0," $6,700 ",3.5 stars,
Florida,Pasco,"Humana Medical Plan, Inc.",Humana Gold Plus H1036-040 (HMO),Local HMO, $-   , $-   ,Enhanced,"Some Generics, Few Brands",EA,H1036,040,0," $3,400 ",4.5 stars,
Florida,Pasco,"Humana Medical Plan, Inc.",Humana Gold Plus H1036-119 (HMO),Local HMO *, $-   ,,,,,H1036,119,0," $3,400 ",4.5 stars,
Florida,Pasco,"Humana Medical Plan, Inc.",Humana Gold Plus H1036-141 (HMO),Local HMO, $-   , $-   ,Enhanced,"Few Generics, Few Brands",EA,H1036,141,0," $5,000 ",4.5 stars,
Florida,Pasco,"Preferred Care Partners, Inc.",Preferred Secure Option (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1045,023,0," $6,700 ",4 stars,
Florida,Pasco,UnitedHealthcare,AARP MedicareComplete (HMO),Local HMO, $-   , $-   ,Enhanced,No Gap Coverage,EA,H1080,004,0," $5,900 ",3.5 stars,
